id,NAME,Quick Sort,TYPE,AFFINITY,MOVE,AP,STR,ARM,WILL,DEX,HEART,SK/PN,BIT,ABILITIES,ACTIONS,CARD BACK,FLAVOR,PRODUCT,REALM,STATUS,
104,Tora Chunin,mini-boss,TORA MINI-BOSS,Citrine,5,3,"Melee 2
2B 1R",2R,2R,3B,8,4,SUPER,"Ravage, Selfless","(Blue 1) Mighty Challenge: Range 6, WILL Vs. WILL, Pull 6, when the target finishes its move, this model may make a basic offensive action against it.

(Red 2) The Way of The Blade: Melee 2, +1G STR

(Red 2) Leaping Strike: Melee, Lance 6, Charge, +1R STR
",,,,,Draft,
105,Tora Kaiken,monster,TORA MINION,Citrine,5,1,"Melee 1
3B",1W,1B,3B,1,1,8-Bit,Ravage,,,,,,Testing,
106,Tora Kunoichi,monster,TORA MINION,Citrine,5,2,"Melee 1
3B",1W,2B,3B,2,2,8-Bit,"Ravage, Predator","(Blue 1) Whispered Words: WILL Vs. Will, Range 4, Compel 4

(Red 2) Test of Honor: Melee 1, +1R STR",,,,,Testing,
107,Tora Madoushi,spawning point,TORA SPAWNING POINT,Citrine,2,1,"Melee 1
3B",1W,1B,3B,4,3,START/16-Bit,"Active Spawn, Ravage","(Blue 1) For The Clan!: Until the end of the turn, when a friendly monster on this tile would suffer a wound due to its Ravage ability, this spawning point may suffer it instead.",,,,,Testing,
108,Tora Oni,monster,TORA ELITE,Citrine,5,3,"Melee 3
1B 2R",2B 1R,1B,3B,3,3,16-Bit,"Ravage, Predator","(Red 2) The Perfect Cut: Melee 3, +1R STR, Push 4

(Red 2) Away Insects!: Melee, Wave 3",,,,,Testing,
109,Tora Yajiri,monster,TORA MINION,Emerald,5,1,3B,0W,1B,"Missile 5
3B",1,1,8-Bit,Ravage,,,,,,Testing,
110,Chuy,Hero,Human Hero,Sapphire,6,3,"Melee 1
3B",2B1R,3B,"Missile 6
3B",5,1,,Privateer,"(red 2) Pistols Blazing: Missile 6, +1B DEX, Arc

(red 2) Flame Burst: Missile, Sweep 2, Fire

(red potion) Sniper Rounds: Missile 10, +1G DEX, Massive Damage
","Arc:

Fire:

Massive Damage:

Privateer:","""That's not a toy.""","NJD202087
Chuy and Apprentice Mage",Arcadian Dunes,Complete,
111,Apprentice Mage,Hero,Misfit Hero,Sapphire/Ruby,5,3,1B,3B,3B2R,2B,3,1,,"Healer, Defenseless, Small","(blue 1) Stay There: Range 6, WILL vs WILL, Immobile

(blue 3) Life Force: Augment, Range 1, Heal 5, Remedy

(blue potion) Toad Broth: Augment, During its activation this model may use its WILL to make Magic 8 basic attacks.","Defenseless:

Healer:

Immobile:

Remedy:

Small:

","""Adorable? No doubt. Defenseless? That's pushing it."" ","NJD202087
Chuy and Apprentice Mage",Arcadian Dunes,Complete,
112,Bakusho Mondai,Hero,Human Hero,Sapphire,6,3,"Melee 1
2R",3B,3B,1B1R,5,1,,"Sidestep, Tough","(blue 2) Smooth Moves: Dangerous, Wave 2, Remove all affected models from the dungeon, then place them in any legal square within the area of effect.

(blue 1) Uncomfortable Closeness: Once per activation, Dangerous, Range 6, Move this model into a square adjacent to the target. 

(red potion) Fireworks: Magic, Wave 1, +1R WILL","Sidestep:

Tough:","Bakusho Mondai’s gregarious nature and boisterous personality made him a natural master of festivals and celebrations. For the right price, he is eager to join adventuring parties and lend his dance-kata and fireworks, exquisitely choreographed to the thumping rhythm of taiko drums.","NJD202047
Bakusho Mondai",Kagejima,Complete,
113,Dark Kitsune,mini-boss,KITSUNE MINI-BOSS,Emerald,6,4,2R,2B 1R,3B,"Missile 4
2R",7,4,SUPER,Surefoot,"(Red 2) Massive Ninja Star To The Face: Melee 1, +1B STR, Massive Damage

(Red 1) Let Them Come: Melee, Wave 1

(Blue 1) Foxy: Augment, Aura 3, Stealth",,"Some Kitsune are ill-suited for life beneath their clan’s shadowed trees. Dark Kitsune dream of a wider world, and long to see its wonders.  They take their clan’s skills in herbalism and magic with them, of course, and most parlay these talents into lucrative employment. They rarely have trouble finding warriors willing to pay their sometimes outlandish fees.",Dark Kitsune,Kagejima,Complete,
114,Spider Guild Otaku,Hero,Nether Elf Hero,,,,,,,,,,,,,,,"NJD202073
Spider Guild Otaku",Castle Town,Draft,
115,Pauper Prince,Dungeon Boss,Troll Dungeon Boss,,,,,,,,,,,,,,,"NJD203012
Pauper Prince",Clockwork Cove,Draft,
116,Deeproot Scout,Hero,Elf Hero,Emerald,7,3,"Melee 1
3B",3B,2B,"Missile 6
3B",5,2,,,"(Red 2) Acorn Bomb: Dangerous, Melee 6, Burst 1, Knockdown

(Blue 2) Boomerang: Range 6, Hookshot, Place target treasure chest adjacent to Deeproot Scout.

(Green Potion) Bottled Faerie: Augment, Heal 2

(Blue Potion) Sprite Syrup: Augment, +1 Action","Heal X:

Hookshot:

Knockdown:",Hero Flavor Doc,"NJD210207
Caverns of Roxor",Dragonback Peaks,Complete,
117,Princess Ruby,Hero,Human Hero,Ruby,6,3,2B,"2B
","Magic 6
3B","Shield
2B 1R",5,1,,"Healer, Sidestep","(Blue 1) Maiden's Favor: Augment, Range 6, +1B STR

(Blue 1) Maiden's Token: Augment, Range 6, +1B WILL

(Blue 2) Maiden's Kiss: Augment, Range 1, Regenerate

(Blue Potion) Dress-up Draught: Choose two Heroes, they may exchange one piece of equipment.","Heal X:

Healer:

Regenerate:

Sidestep:",Hero Flavor Doc,"NJD210207
Caverns of Roxor",Dragonback Peaks,Complete,
118,Star Guild Sapper,Hero,Dwarf Hero,Citrine,6,3,"Melee 2
2B 1R",3B,3B,2B,6,1,,Immune: Knockdown,"(Red 2) Astral Hammer: Melee, Cross 2, Knockdown

(Red 2) POW!: Melee 2, +1R STR, Massive Damage

(Blue 1) Star Shine: Augment, Immune: Status Effects

(Red Potion) Burning Bloom: Dangerous, Melee, Wave 1, Fire","Fire:

Immune: Status Effects

Knockdown

Massive Damage",Hero Flavor Doc,"NJD210207
Caverns of Roxor",Dragonback Peaks,Complete,
119,Rock Gut,Mini-Boss,Troll Mini-Boss,Sapphire,6,3,"Melee 2
1W 3B 1R",2B 2R,1B,2B,5,4,SUPER,"Fire, Immune: Fire, Tough","(Red 2) Burning Bile: Melee, Lance 6

(Red 2) Feast: Melee 2, +1 STR, If Feast inflicts a wound, remove one wound token from Rock Gut.","Fire:

Immune: Fire

Tough:",Monster Flavor Doc,"NJD210207
Caverns of Roxor",Dragonback Peaks,Complete,
120,Lava Whirl,Spawning Point,Spawning Point,Citrine,-,-,-,1W,-,-,3,-,START,"Immune: Status Effects, Fire Aura","Spawning Pool:
1x Lava Whirl (Spawning Point)
1x Blaze Beetle
2x Ember Hound
3x Burning Gel
6x Fire Gel","Immune: Status Effects

Fire Aura",Monster Flavor Doc,"NJD210207
Caverns of Roxor",Dragonback Peaks,Complete,
121,Blaze Beetle,Monster,Elemental Bug Elite,Citrine,6,3,"Melee 3
2B 1R",1W 1R,2B,2B,3,2,16-Bit,"Immune: Fire, Burrow","(Red 2) Furnace Vent: Melee, Cross 3, Fire

(Blue 1) Burning Chitin: Augment, Backlash","Backlash:

Burrow:

Fire:

Immune: Fire",Monster Flavor Doc,"NJD210207
Caverns of Roxor",Dragonback Peaks,Complete,
122,Ember Hound,Monster,Elemental Wolf Elite,Emerald,8,1,"Melee 1
2R",1W,2B,3B,1,1,8-Bit,"Immune: Fire, Stealth","(Red 1) Sickening Smoke: Melee, Wave 1, Poison

(Blue 1) Ash Cloud: Augment, Aura 2, Stealth","Immune: Fire

Poison:

Stealth:",Monster Flavor Doc,"NJD210207
Caverns of Roxor",Dragonback Peaks,Complete,
123,Burning Gel,Monster,Elemental Slime Minion,Ruby,6,2,"Melee 1
3B",0W,"Magic 6
3B",1B 1R,1,2,8-Bit,"Fire, Immune: Fire, Splurt","(Red 2) Splort: Magic 6, Burst 1, +1R WILL","Fire:

Immune: Fire

Splurt:",Monster Flavor Doc,"NJD210207
Caverns of Roxor",Dragonback Peaks,Complete,
124,Fire Gel,Monster,Elemental Slime Minion,Citrine,6,1,"Melee 1
3B",0W,3B,1B 1R,1,1,8-Bit,"Fire, Immune: Fire, Insignificant, Little Splurt, Small",,"Fire:

Immune: Fire

Insignificant:

Little Splurt:

Small:",Monster Flavor Doc,"NJD210207
Caverns of Roxor",Dragonback Peaks,Complete,
125,Rock Pile,Monster,Paired Spawning Point,Ruby,-,-,-,1W,-,-,4,-,START,"Immune: Status Effects, Rock Aura","Spawning Pool:
2x Rock Pile (Paired Spawning Point)
1x Crusher
2x Roller
2x Bombardier
6x Slowpoke
6x Turtle Shell","Immune: Status Effects

Rock Aura:",Monster Flavor Doc,"NJD210207
Caverns of Roxor",Dragonback Peaks,Complete,
126,Crusher,Monster,Rocktop Elite,Sapphire,5,3,"Melee 2
2B 1R",1W 2B,3B,1B,4,2,16-Bit,"Immune: Status Effects, Bulldozer","(Red 1) Thwack: Dangerous, Throw 6

(Red 2) Turtle Tremor: Melee, Wave 3, +1B STR for every Turtle Shell within the area effect.

(Blue 1) No Hiding: Augment, Wave 2, Replace each Turtle Shell in the area with a Rocktop model from the spawning pool with a skull value of 2 or less.","Bulldozer:

Immune: Status Effects

Throw X:",Monster Flavor Doc,"NJD210207
Caverns of Roxor",Dragonback Peaks,Complete,
127,Roller,Monster,Rocktop Elite,Sapphire,6,2,"Melee 1
2R",1W,3B,2B,2,2,8-Bit,"Immune: Knockdown, Immune: Slow, Shell","(Red 1) Thwack: Dangerous, Throw 4","Immune: Knockdown

Immune: Slow

Shell:

Throw:",Monster Flavor Doc,"NJD210207
Caverns of Roxor",Dragonback Peaks,Complete,
128,Bombardier,Monster,Rocktop Elite,Sapphire,5,1,"Melee 1
1B",1W,3B,1B,1,1,8-Bit,"Immune: Knockdown, Immune: Slow, Shell","(Red 1) Cannon: Missile 10, +2B DEX

(Red 1) Turtle Cannon: Dangerous, Throw 6, Burst 2. Burst is centered on the thrown model. After resolving Turtle Cannon the thrown model is destroyed.","Immune: Knockdown

Immune: Slow

Shell:

Throw:",Monster Flavor Doc,"NJD210207
Caverns of Roxor",Dragonback Peaks,Complete,
129,Slowpoke,Monster,Rocktop Minion,Sapphire,5,1,"Melee 1
3B",1W,3B,1B,1,1,,"Immune: Knockdown, Immune: Slow, Burrow, Shell",,"Burrow:

Immune: Knockdown

Immune: Slow

Shell:

Throw:",Monster Flavor Doc,"NJD210207
Caverns of Roxor",Dragonback Peaks,Complete,
130,Turtle Shell,Monster,Rocktop Minion,Sapphire,-,-,-,2W,-,-,2,-,SPECIAL,"Immune: Status Effects, Insignificant",Turtle Shells may no be spawned and may only enter play through the Shell ability.,"Immune: Status Effects

Insignificant",Monster Flavor Doc,"NJD210207
Caverns of Roxor",Dragonback Peaks,Complete,
131,Testudo Tower,Dungeon Boss,Rocktop Dungeon Boss,Sapphire,4,4,"Melee 2
1W 3R","Shield
2W 2R 1G",3B,2B,8,4,SUPER,"Immune: Status Effects, Bulldozer, Sturdy","(Red 1) Turtle Tosser: Dangerous, Throw 6, Knockdown

(Red 2) Shell Shock: Melee, Lance 10, Knockdown, Charge

(Red 2) Booming Bombards: Missile 10, Burst 3, +2G DEX","Bulldozer:

Charge:

Immune: Status Effects

Sturdy:

Throw:",Monster Flavor Doc,"NJD210209
Testudo Tower",Dragonback Peaks,Complete,
132,Demolitions Expert,Creep,Rocktop Creep,Citrine,5,1,2B,"Shield
0W",2B,1B,1,0,8-Bit,"Immune: Slow, Insignificant, Volatile","(Red 1) Kaboom: Melee, Wave 1, +2R STR, Push 2, Knockdown. Remove Demolitions Expert from play after resolving Kaboom. Volatile is not triggered by Kaboom.

Toss Me: If this model is targeted by an action with Throw, after resolving the results of the action, destroy this model. Volatile is triggered by Toss Me.","Immune: Slow

Insignificant:

Knockdown:

Volatile",Monster Flavor Doc,"NJD210209
Testudo Tower",Dragonback Peaks,Complete,
133,Deeproot Scout,Hero,,Emerald,,,,,,,,,,,,,,"NJD200007
Rocktop Rumble",Dragonback Peaks,Testing,
134,Princess Ruby,Hero,,Ruby,,,,,,,,,,,,,,"NJD200007
Rocktop Rumble",Dragonback Peaks,Testing,
135,Star Guild Sapper,Hero,,Citrine,,,,,,,,,,,,,,"NJD200007
Rocktop Rumble",Dragonback Peaks,Testing,
136,Rocktop Queen,Hero,,Citrine,,,,,,,,,,,,,,"NJD200007
Rocktop Rumble",Dragonback Peaks,Testing,
137,Rock Gut,Mini-Boss,,Ruby,,,,,,,,,,,,,,"NJD200007
Rocktop Rumble",Dragonback Peaks,Testing,
138,Lava Whirl,Spawning Point,,Ruby,,,,,,,,,,,,,,"NJD200007
Rocktop Rumble",Dragonback Peaks,Testing,
139,Blaze Beetle,Monster,,Ruby,,,,,,,,,,,,,,"NJD200007
Rocktop Rumble",Dragonback Peaks,Testing,
140,Ember Hound,Monster,,Ruby,,,,,,,,,,,,,,"NJD200007
Rocktop Rumble",Dragonback Peaks,Testing,
141,Burning Gel,Monster,,Ruby,,,,,,,,,,,,,,"NJD200007
Rocktop Rumble",Dragonback Peaks,Testing,
142,Fire Gel,Monster,,Ruby,,,,,,,,,,,,,,"NJD200007
Rocktop Rumble",Dragonback Peaks,Testing,
143,Rock Pile,Monster,,Citrine,,,,,,,,,,,,,,"NJD200007
Rocktop Rumble",Dragonback Peaks,Testing,
144,Crusher,Monster,,Citrine,,,,,,,,,,,,,,"NJD200007
Rocktop Rumble",Dragonback Peaks,Testing,
145,Roller,Monster,,Citrine,,,,,,,,,,,,,,"NJD200007
Rocktop Rumble",Dragonback Peaks,Testing,
146,Bombardier,Monster,,Citrine,,,,,,,,,,,,,,"NJD200007
Rocktop Rumble",Dragonback Peaks,Testing,
147,Slowpoke,Monster,,Citrine,,,,,,,,,,,,,,"NJD200007
Rocktop Rumble",Dragonback Peaks,Testing,
148,Turtle Shell,Monster,,Citrine,,,,,,,,,,,,,,"NJD200007
Rocktop Rumble",Dragonback Peaks,Testing,
149,Testudo Tower,Dungeon Boss,,Citrine,,,,,,,,,,,,,,"NJD200007
Rocktop Rumble",Dragonback Peaks,Testing,
150,Demolitions Expert,Creep,,Citrine,,,,,,,,,,,,,,"NJD200007
Rocktop Rumble",Dragonback Peaks,Testing,
151,Momotaru,Hero,Human Hero,Citrine,6,3,"3B
Melee 2",2R,3B,2B,5,1,,Counterstrike,"(Red 2) Shooting Star: Melee 2, +1R STR, Knockdown, Push 5

(Red 2) Coordinated Strike: Melee 2, if this attack succeeds, every friendly model within range may also make an attack against the target.

(Green Potion) Peach Tea: Augment, Roll 2B and Heal 1 for each star rolled.","Counterstrike: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.j1v4t2yw1oeb

Knockdown: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.zcww99zo567

Heal: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.evgkcvlle3v7",,"NJD200006
Devil Island",Kagejima,Testing,
152,Saru Clan Miko,Hero,Chimera Hero,Ruby,6,3,2B,3B,"2R
Magic 4",3B,5,1,,Monkey Tail,"(Red 2) Vicious Taunts: Magic 4, +1R WILL, Hex

(Blue 2) Get Your Paws Off Me: Wave 2, WILL Vs. WILL, Immobile

(Blue 1) Monkey Business: Range 4, select a token on the dungeon map within range, move the token up to 4 squares.

(Green Potion) Banana Pudding: Augment, Sturdy, Remedy","Hex: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.40d66f1kcf9h

Immobile: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.yg34p2ijeteg

Monkey Tail: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.9dw5wwqrle1o

Remedy: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.tj4pfn7ru74j

Sturdy: https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#bookmark=id.psumvhstcgj7",,"NJD200006
Devil Island",Kagejima,Testing,
153,Star Princess Candy,Hero,Human Hero,Sapphire,6,3,2B,3B,2R,"2R
Missile 6",5,1,,Dungeon Map,"(Blue 2) Cunning Strategist: Wave 3, WILL v WILL, Compel 2

(Red 2) Rebel Shot: Missile 6, +1R DEX, Hookshot

(Blue Potion) Star Wine: Augment, Aura 3, +1B ARM","Dungeon Map

Hookshot","The ultimate rebel, Star Princess Candy fights for what is right throughout Crystalia with boldness, determination, and a knack to get out of the toughest situations.",,,,
154,Pauper Prince,Dungeon Boss,Troll Dungeon Boss,Citrine,5,4,,,,,,,,,,,,,,,
155,Cove Rat,Creep,Rat Creep,Citrine,8,,,,,,,,,,,,,,,,
156,Moffet,Monster,Goblin Elite,Citrine,7,,,,,,,,,,,,,,,,
157,Fetcher,Monster,Goblin Minion,Citrine,7,,,,,,,,,,,,,,,,
158,Trawler,Monster,Goblin Minion,Citrine,7,,,,,,,,,,,,,,,,
159,Refuse Pipe,Spawning Point,Spawning Point,Citrine,-,-,-,1W,-,-,3,-,START,,,"Spawning Pool:
1x Refuse Pipe (Spawning Point)
1x Moffet
2x Trawler
4x Fetcher",,,,,
160,Celestian Purifier,Hero,Celestian Hero,Sapphire,,,,,,,,,,,,,,,,,
161,Virtuous Blade,Hero,Human Hero,Sapphire,,,,,,,,,,,,,,,,,
162,White Knight Candy,Hero,Human Hero,Ruby,,,,,,,,,,,,,,,,,
163,Lunar Mage,Hero,Elf Hero,Sapphire,,,,,,,,,,,,,,,,,
164,Crystalian Huntmaster,Hero,Human Hero,Emerald,,,,,,,,,,,,,,,,,
165,Chained Knight,Mini-Boss,Demon Mini-Boss,Amethyst,,,,,,,,,,,,,,,,,
166,Master of Chains,Mini-Boss,Riftling Mini-Boss,Amethyst,,,,,,,,,,,,,,,,,
167,Araphel,Dungeon Boss,Demon Dungeon Boss,Amethyst,,,,,,,,,,,,,,,,,
168,Spawn of Servitude,Spawning Point,Spawning Point,Amethyst,,,,,,,,,,,,,,,,,
169,Head Nurse,Monster,Succubus Elite,Amethyst,,,,,,,,,,,,,,,,,
170,Candy Striper,Monster,Succubus Minion,Amethyst,,,,,,,,,,,,,,,,,
171,Wretch,Monster,Demon Minion,Amethyst,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Celestial Herald,Hero,Celestian Hero,"Emerald
Ruby",7,3,2B,"Shield
1B","Shield
2R","Missile
3B",5,1,-,"Immune: Knockdown, Fly","(Red 2) Divine Arrow: Missile, Lance 8

(Red 2) Heart Seeker: Missile 8, +2B DEX, Hookshot

(Green Potion) Halo Extract: Augment, Aura 3, +1W ARM","Hookshot

Immune: Knockdown

Fly",Hero Flavor Doc,"SPM210304
Von Drakk Manor",Glauerdoom ,Complete,
,Sister of Light,Hero,Human Hero,"Sapphire
Ruby",6,3,"Melee 1
2R","Shield
3B",2R,2B,5,2,-,"Healer, Holy","(Red 2) Judgment: Melee, Cross 4, Hex

(Blue 1) Purification: Augment, Cross 2, Heal 1

(Blue Potion) Elixir of Light: Augment, +1B WILL, Remedy, Holy","Heal:

Healer:

Holy:

Remedy:",Hero Flavor Doc,,,,
,Von Wilding,Hero,Human Hero,"Citrine
Emerald",,,,,,,,,,,,,,,,,
